Id,BS_Module,Sub_Category,Case_Type,Summary,Description,Steps_To_Reproduce,Additional_Information,Notes,KB_Content
13526,Database,Calculation Routing,Issue,calculate ไม่ได้ตรวจสอบให้หน่อยครับ,calculate ไม่ได้ตรวจสอบให้หน่อยครับ,"ทีมมีปรับ process ไปช่วงเช้า
เบื้องต้นเคสนี้ทำการ rollback กลับมาใช้อันเดิมก่อน",,,"[ปัญหา] calculate ไม่ได้ตรวจสอบให้หน่อยครับ

[วิธีแก้ไข] ทีมมีปรับ process ไปช่วงเช้า
เบื้องต้นเคสนี้ทำการ rollback กลับมาใช้อันเดิมก่อน"
13525,Database,Reset Tirechecker,Issue,"Lonk4000597538,Lonk4000597539 รบกวนถอยสถานะการสแกนยางทั้งหมดให้หน่อยครับ ต้องการเริ่มสแกนใหม่ทั้งหมดครับ","Lonk4000597538,Lonk4000597539 รบกวนถอยสถานะการสแกนยางทั้งหมดให้หน่อยครับ ต้องการเริ่มสแกนใหม่ทั้งหมดครับ","reset tirescheckder
remove scan log",,,"[ปัญหา] Lonk4000597538,Lonk4000597539 รบกวนถอยสถานะการสแกนยางทั้งหมดให้หน่อยครับ ต้องการเริ่มสแกนใหม่ทั้งหมดครับ

[วิธีแก้ไข] reset tirescheckder
remove scan log"
13524,Web-App,GPS Monitoring,Issue,ตรวจสอบหน้า GPS monitoring ให้หน่อยครับ,ตรวจสอบหน้า GPS monitoring ให้หน่อยครับ,"""GoogleApiKey"": ""[REDACTED_API_KEY]"", //yogmail
""GoogleDistanceMatrix"": {
""BaseUrl"": ""https://maps.googleapis.com/maps/api/distancematrix/json?"",
""Parameters"": [
""mode=driving"",
""language=th-TH"",
""key=[REDACTED_API_KEY]"" //yogmail

ปรับแก้ config ที่เครื่อง 201 , 38 ,39",,,"[ปัญหา] ตรวจสอบหน้า GPS monitoring ให้หน่อยครับ

[วิธีแก้ไข] ""GoogleApiKey"": ""[REDACTED_API_KEY]"", //yogmail
""GoogleDistanceMatrix"": {
""BaseUrl"": ""https://maps.googleapis.com/maps/api/distancematrix/json?"",
""Parameters"": [
""mode=driving"",
""language=th-TH"",
""key=[REDACTED_API_KEY]"" //yogmail

ปรับแก้ config ที่เครื่อง 201 , 38 ,39"
13521,Database,Tire Master,Issue,รบกวนช่วยเช็คให้หน่อยค่ะ พี่วางไฟล์แล้วติดค่ะ ติด GT CODE 2 ไซส์ล่างค่ะ,"รบกวนช่วยเช็คให้หน่อยค่ะ พี่วางไฟล์แล้วติดค่ะ
ติด GT CODE 2 ไซส์ล่างค่ะ
PSH45
PSNO2
พี่วางไฟล์งานในเมนู Import Convert Pending DO (OE , EXP) ค่ะ","GT Code ที่ tiresmaster ขาด 0 ไปตัว ดำเนินการปรับให้ถูกต้อง

PSH45 -> PSH450
PSNO2 -> PSNO20",,,"[ปัญหา] รบกวนช่วยเช็คให้หน่อยค่ะ พี่วางไฟล์แล้วติดค่ะ
ติด GT CODE 2 ไซส์ล่างค่ะ
PSH45
PSNO2
พี่วางไฟล์งานในเมนู Import Convert Pending DO (OE , EXP) ค่ะ

[วิธีแก้ไข] GT Code ที่ tiresmaster ขาด 0 ไปตัว ดำเนินการปรับให้ถูกต้อง

PSH45 -> PSH450
PSNO2 -> PSNO20"
13522,Database,Copy DO,Issue,ช่วย copy ข้อมูล D/O ชุดนี้ไปที่ mocs test หน่อยครับ,ช่วย copy ข้อมูล D/O ชุดนี้ไปที่ mocs test หน่อยครับ,"select * from DeliveryOrder where DONo in ('4000597871', '4000597876', '4000597885', '4000597986', '4000597989', '4000597992', '4000597996', '4000598003', '4000598004', '4000598006', '4000598059', '4000598062', '4000598063', '4000598064', '4000598067', '4000598081', '4000598088', '4000598140', '4000598169', '4000598173', '4000598179', '4000598231', '4000598283', '4000598287', '4000598327', '4000598353')

update DeliveryOrder
set DOStatus = 'PENDING'
where DONo in ('4000597871', '4000597876', '4000597885', '4000597986', '4000597989', '4000597992', '4000597996', '4000598003', '4000598004', '4000598006', '4000598059', '4000598062', '4000598063', '4000598064', '4000598067', '4000598081', '4000598088', '4000598140', '4000598169', '4000598173', '4000598179', '4000598231', '4000598283', '4000598287', '4000598327', '4000598353')

select * from DeliveryOrderDetail where DONo in ('4000597871', '4000597876', '4000597885', '4000597986', '4000597989', '4000597992', '4000597996', '4000598003', '4000598004', '4000598006', '4000598059', '4000598062', '4000598063', '4000598064', '4000598067', '4000598081', '4000598088', '4000598140', '4000598169', '4000598173', '4000598179', '4000598231', '4000598283', '4000598287', '4000598327', '4000598353')",,,"[ปัญหา] ช่วย copy ข้อมูล D/O ชุดนี้ไปที่ mocs test หน่อยครับ

[วิธีแก้ไข] select * from DeliveryOrder where DONo in ('4000597871', '4000597876', '4000597885', '4000597986', '4000597989', '4000597992', '4000597996', '4000598003', '4000598004', '4000598006', '4000598059', '4000598062', '4000598063', '4000598064', '4000598067', '4000598081', '4000598088', '4000598140', '4000598169', '4000598173', '4000598179', '4000598231', '4000598283', '4000598287', '4000598327', '4000598353')

update DeliveryOrder
set DOStatus = 'PENDING'
where DONo in ('4000597871', '4000597876', '4000597885', '4000597986', '4000597989', '4000597992', '4000597996', '4000598003', '4000598004', '4000598006', '4000598059', '4000598062', '4000598063', '4000598064', '4000598067', '4000598081', '4000598088', '4000598140', '4000598169', '4000598173', '4000598179', '4000598231', '4000598283', '4000598287', '4000598327', '4000598353')

select * from DeliveryOrderDetail where DONo in ('4000597871', '4000597876', '4000597885', '4000597986', '4000597989', '4000597992', '4000597996', '4000598003', '4000598004', '4000598006', '4000598059', '4000598062', '4000598063', '4000598064', '4000598067', '4000598081', '4000598088', '4000598140', '4000598169', '4000598173', '4000598179', '4000598231', '4000598283', '4000598287', '4000598327', '4000598353')"
13520,Database,Update DOStatus,Issue,4000596309 ช่วย CREATE DO ใบนี้หน่อยค่ะเนื่องจาก ROUTING ไปแล้วยังค้างอยู่ใน Pending,4000596309 ช่วย CREATE DO ใบนี้หน่อยค่ะเนื่องจาก ROUTING ไปแล้วยังค้างอยู่ใน Pending,"select * from DeliveryOrder where DONo = '4000596309'

--Update DeliveryOrder
--set DOStatus = 'CREATED'
--where DONo = '4000596309'",,,"[ปัญหา] 4000596309 ช่วย CREATE DO ใบนี้หน่อยค่ะเนื่องจาก ROUTING ไปแล้วยังค้างอยู่ใน Pending

[วิธีแก้ไข] select * from DeliveryOrder where DONo = '4000596309'

--Update DeliveryOrder
--set DOStatus = 'CREATED'
--where DONo = '4000596309'"
13518,Database,Split Trip,Issue,ขออนุมัติให้แยกทริปทรานเฟอร์ด้วยค่ะ เปิด – ปิด งานรวม 1 trip 315277,"ขออนุมัติให้แยกทริปทรานเฟอร์ด้วยค่ะ เปิด – ปิด งานรวม 1 trip 315277
LONK4101160355
LONK4101160362",8.Estimate_Cost_Split_Trip.sql,,,"[ปัญหา] ขออนุมัติให้แยกทริปทรานเฟอร์ด้วยค่ะ เปิด – ปิด งานรวม 1 trip 315277
LONK4101160355
LONK4101160362

[วิธีแก้ไข] 8.Estimate_Cost_Split_Trip.sql"
13519,Database,Copy DO,Issue,รบกวน copy D/O ของวันนี้ไปที่ Mocstest หน่อยครับ และปรับ do status ทั้งหมดให้เป็น pending,รบกวน copy D/O ของวันนี้ไปที่ Mocstest หน่อยครับ และปรับ do status ทั้งหมดให้เป็น pending,export do จาก MoCS ไป MoCS_Test_FinalDC,"SELECT *
FROM [dbo].[DeliveryOrder]
where CreateDate >= '2026-08-04'

SELECT *
FROM [dbo].[DeliveryOrderDetail]
where CreateDate >= '2026-08-04'

--update [dbo].[DeliveryOrder]
--set DOStatus = 'PENDING',ConvertPendingFlag = NULL
--where CreateDate >= '2026-08-04'",,"[ปัญหา] รบกวน copy D/O ของวันนี้ไปที่ Mocstest หน่อยครับ และปรับ do status ทั้งหมดให้เป็น pending

[วิธีแก้ไข] export do จาก MoCS ไป MoCS_Test_FinalDC

[ข้อมูลเพิ่มเติม] SELECT *
FROM [dbo].[DeliveryOrder]
where CreateDate >= '2026-08-04'

SELECT *
FROM [dbo].[DeliveryOrderDetail]
where CreateDate >= '2026-08-04'

--update [dbo].[DeliveryOrder]
--set DOStatus = 'PENDING',ConvertPendingFlag = NULL
--where CreateDate >= '2026-08-04'"
13517,Database,Inactive EstimateCost,Issue,Loading LOCH4000582300 ไม่มีข้อมูลในระบบ Freight,รบกวนเช็คโหลดนี้ให้หน่อยค่ะ ไม่มีข้อมูลในระบบ Freight ค่ะ,"ดำเนินการแก้ไข Active Flag เรียบร้อยครับ เป็น Trip 317539 ครับ
สาเหตุเกิดจาก Loading LOCH4000582300 มีการเปิดงานรวมกับ Loading LOCH4000582306
และมีการ Cancle Truck Loading LOCH4000582306 ส่งผลให้ Loading LOCH4000582300 มี Active Flag เป็น 0 ครับ",,,"[ปัญหา] รบกวนเช็คโหลดนี้ให้หน่อยค่ะ ไม่มีข้อมูลในระบบ Freight ค่ะ

[วิธีแก้ไข] ดำเนินการแก้ไข Active Flag เรียบร้อยครับ เป็น Trip 317539 ครับ
สาเหตุเกิดจาก Loading LOCH4000582300 มีการเปิดงานรวมกับ Loading LOCH4000582306
และมีการ Cancle Truck Loading LOCH4000582306 ส่งผลให้ Loading LOCH4000582300 มี Active Flag เป็น 0 ครับ"
13515,Database,Disk Check Report,MA,Disk Check 201 and 202,ตรวจสอบ disk space เครื่อง 201 และ 202,ตรวจสอบ disk space เครื่อง 201 และ 202,,,"[ปัญหา] ตรวจสอบ disk space เครื่อง 201 และ 202

[วิธีแก้ไข] ตรวจสอบ disk space เครื่อง 201 และ 202"
